state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
al,ho3,7/1/2018,Agent,4,4,4,0,0
al,ho3,7/1/2018,Online,18,12,3,0,0
al,ho3,7/2/2018,Agent,2,2,2,0,0
al,ho3,7/2/2018,Online,19,13,1,0,0
al,ho3,7/3/2018,Agent,5,5,3,1,0.2
al,ho3,7/3/2018,Online,21,16,2,1,0.047619048
al,ho3,7/4/2018,Agent,2,2,2,1,0.5
al,ho3,7/4/2018,Online,14,12,1,0,0
al,ho3,7/5/2018,Agent,6,6,5,2,0.333333333
al,ho3,7/5/2018,Online,21,14,2,0,0
al,ho3,7/6/2018,Agent,6,6,5,2,0.333333333
al,ho3,7/6/2018,Online,21,16,2,1,0.047619048
al,ho3,7/7/2018,Agent,1,1,1,0,0
al,ho3,7/7/2018,Online,16,10,1,0,0
al,ho3,7/8/2018,Agent,4,4,4,1,0.25
al,ho3,7/8/2018,Online,13,10,1,0,0
al,ho3,7/9/2018,Agent,6,6,5,2,0.333333333
al,ho3,7/9/2018,Online,28,18,5,0,0
al,ho3,7/10/2018,Agent,12,12,11,2,0.166666667
al,ho3,7/10/2018,Online,18,11,1,1,0.055555556
al,ho3,7/11/2018,Agent,5,5,4,0,0
al,ho3,7/11/2018,Online,20,13,4,0,0
al,ho3,7/12/2018,Agent,4,4,4,0,0
al,ho3,7/12/2018,Online,28,21,2,1,0.035714286
al,ho3,7/13/2018,Agent,8,8,8,1,0.125
al,ho3,7/13/2018,Online,21,12,2,1,0.047619048
al,ho3,7/14/2018,Agent,5,4,4,0,0
al,ho3,7/14/2018,Online,19,12,2,0,0
al,ho3,7/15/2018,Agent,2,2,0,1,0.5
al,ho3,7/15/2018,Online,14,13,1,0,0
al,ho3,7/16/2018,Agent,6,6,6,1,0.166666667
al,ho3,7/16/2018,Online,19,12,3,2,0.105263158
al,ho3,7/17/2018,Agent,9,9,9,0,0
al,ho3,7/17/2018,Online,25,15,4,0,0
al,ho3,7/18/2018,Agent,8,7,5,2,0.25
al,ho3,7/18/2018,Online,28,18,3,1,0.035714286
al,ho3,7/19/2018,Agent,7,7,6,0,0
al,ho3,7/19/2018,Online,24,16,0,0,0
al,ho3,7/20/2018,Agent,5,5,5,1,0.2
al,ho3,7/20/2018,Online,23,14,3,0,0
al,ho3,7/21/2018,Agent,7,7,7,0,0
al,ho3,7/21/2018,Online,22,14,4,2,0.090909091
al,ho3,7/22/2018,Agent,6,6,4,0,0
al,ho3,7/22/2018,Online,15,7,1,0,0
al,ho3,7/23/2018,Agent,6,6,5,0,0
al,ho3,7/23/2018,Online,29,19,3,1,0.034482759
al,ho3,7/24/2018,Agent,8,8,6,0,0
al,ho3,7/24/2018,Online,35,21,6,0,0
al,ho3,7/25/2018,Agent,5,5,3,0,0
al,ho3,7/25/2018,Online,26,17,2,0,0
al,ho3,7/26/2018,Agent,6,6,4,0,0
al,ho3,7/26/2018,Online,20,11,1,1,0.05
al,ho3,7/27/2018,Agent,5,3,3,0,0
al,ho3,7/27/2018,Online,26,17,3,1,0.038461538
al,ho3,7/28/2018,Agent,2,2,2,0,0
al,ho3,7/28/2018,Online,17,10,1,0,0
al,ho3,7/29/2018,Agent,2,2,2,0,0
al,ho3,7/29/2018,Online,27,11,3,1,0.037037037
al,ho3,7/30/2018,Agent,1,1,0,0,0
al,ho3,7/30/2018,Online,16,11,2,0,0
al,ho3,7/31/2018,Agent,4,4,3,0,0
al,ho3,7/31/2018,Online,13,12,3,0,0
al,ho3,8/1/2018,Agent,7,7,6,0,0
al,ho3,8/1/2018,Online,29,19,2,1,0.034482759
al,ho3,8/2/2018,Agent,12,12,11,1,0.083333333
al,ho3,8/2/2018,Online,21,14,1,1,0.047619048
al,ho3,8/3/2018,Agent,5,5,5,0,0
al,ho3,8/3/2018,Online,11,8,1,0,0
al,ho3,8/4/2018,Agent,3,3,3,0,0
al,ho3,8/4/2018,Online,14,11,3,1,0.071428571
